stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,12.26,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,2.14,1.07,0,0,0,1.07,0,0,0,1.07,0,1.07,13.91,0,7.49,0,1.07,0,0,23.54,5.35,1.07,3.21,0,0,1.07,0,0,0
21Day,2.68,0,6.69,0,2.68,0,2.68,0,0,0,1.34,0,2.68,1.34,0,2.68,0,12.05,0,0,0,0,9.37,5.35,0,5.35,1.34,1.34,1.34,0,0,0
3Month,0,0.96,5.76,0,0,0.64,0,1.28,3.84,0,8.64,3.84,0.96,2.88,0,0.64,3.2,2.56,0.32,0,1.28,0.64,0,0.32,0.96,0,0.32,10.88,0.32,0,3.52,9.92
22Month,0,0.55,1.64,0,0,0,0,0,0,1.09,4.37,0,0,1.09,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0.55,0,0.55,0.55,0,0.55
