stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,0,0,8.17,0,0,8.17,28.6,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,19.26,2.14,1.07,1.07,4.28,0,1.07,0,0
21Day,0,2.68,0,0,0,1.34,0,0,0,1.34,0,0,1.34,8.03,0,1.34,0,0,0,0,0,2.68
3Month,0,1.6,0.96,0,1.28,0.32,0,0,0.32,0,0.64,0.32,0,0.32,0,0.32,0,0,0.96,0,0.32,0
22Month,0,4.37,1.09,1.09,9.29,0,1.09,0,0,0.55,0.55,0.55,0,0.55,0,2.73,0,0,1.64,0,0,0
