stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
3Month,0.32,0.32,0,2.24,0.32,0.32,0.32,0.64,0.32,0.64,0.32,4.48,0.64
22Month,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0
