stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,7.49,3.21,9.63,14.98,35.3,2.14,0,0,0,0,1.07,0,37.44,26.74,1.07,443.96,2.14,1.07,165.82,68.47,1.07,0,42.79,1.07,19.26,2.14,1.07,1.07,0
21Day,17.4,1.34,36.14,0,37.48,5.35,1.34,4.02,2.68,2.68,9.37,5.35,1.34,16.06,12.05,172.67,1.34,12.05,53.54,33.46,0,1.34,4.02,9.37,9.37,4.02,6.69,1.34,5.35
