stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,4.28,0,8.56,0,0,191.49,4.28,1.07,1.07,0,1.07,1.07,0,0,0,0,0,0
21Day,0,0,0,4.02,2.68,0,1.34,0,0,0,0,1.34,2.68,0,22.76,0,0,73.62,2.68,0,1.34,1.34,0,0,0,1.34,1.34,0,0,4.02
3Month,0,0.64,0,4.16,0,0.32,0.96,0,2.24,2.24,0.32,0.32,1.6,0.64,7.04,0.32,0.32,1.6,0,2.88,0,0,4.48,0.32,0,0,0.32,0.64,0.96,0.64
22Month,0,0,0.55,2.73,0,0,2.19,2.73,21.87,0,1.64,2.73,0,3.28,4.37,0.55,0,2.19,0,1.64,0,1.09,14.76,0.55,0.55,0,1.64,0.55,0,1.09
