stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,4.02,0,0,0,0,2.68,4.02,0,5.35,0,1.34,0,0,0,0,0,0
3Month,0,0.64,0.32,7.68,0.32,0,0.32,0.32,3.52,0,7.36,2.88,0.96,3.2,2.56,2.24,227.16,65.59,0,0.96,0.96,0,2.24,0.64,0.96,0.96,13.76,0.32,0,0.96,1.28,3.2,4.48
22Month,1.09,1.64,0,36.63,0,0,1.64,2.19,14.76,1.09,43.73,1.09,1.64,6.56,8.2,9.29,544.47,9.29,4.92,0.55,0.55,2.19,19.68,24.05,0,1.09,3.83,5.47,2.19,28.97,0.55,0,2.73
