stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,2.14,0,0,1.07,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,1.34,0,1.34,1.34,0,2.68,0,0,1.34,0,1.34,0,0,1.34
3Month,2.24,0,0.64,0,2.24,0.64,0.96,0,0,0.64,0.32,0,0.64,0,0,0,0,2.88,0,0.32,0.32,1.6
22Month,0.55,0,0,0.55,10.39,0.55,0.55,0,0,1.64,0.55,0,0,0.55,0,0.55,0,0,0,0,0,0
