stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,163.46,0,0,4.09,0,0,0,0,0,0,0
72hpf,4.28,3.21,0,10.7,9.63,6.42,1.07,0,0,0,0,0,10.7,21.4,0,19.26,2.14,1.07,77.02,41.72,1.07,0,8.56,0,1.07,1.07,0,1.07,0,0
21Day,8.03,6.69,4.02,68.27,1.34,12.05,9.37,2.68,0,5.35,16.06,1.34,8.03,24.09,4.02,40.16,0,9.37,46.85,22.76,0,1.34,10.71,12.05,1.34,1.34,2.68,1.34,0,8.03
22Month,0,2.19,1.09,2.19,0,0,0,0.55,0.55,7.65,0,1.09,0,0,1.64,0,0,1.09,0.55,0,0,0,0,0,1.09,0,0,0,0.55,0
