stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,0,62.05,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,8.03,0,0,0,1.34,0,0,1.34,149.92,2.68,0,0,0,0,1.34,0,2.68,0,0,0,2.68,0,0
3Month,0,0.32,0.96,9.6,0,3.52,1.6,0,0.64,0,0.64,49.27,0.32,0.32,0,0.32,0,0,0.32,0.64,0.64,0,0.32,0,0.64,0.64
22Month,1.64,0,0.55,25.69,0.55,14.21,1.09,0,2.19,1.09,0,96.76,0.55,0.55,0.55,0.55,0,0,0,0,1.09,0.55,0,0,0,0.55
