stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,24.52,4.09,0,0,0,0,0,0,0,0,0,0,16.35,12.26,36.78,0,0,0,12.26,302.39,4.09,0,0,0,4.09,0,0,0
72hpf,1.07,1.07,0,2.14,0,1.07,0,0,0,1.07,0,0,1.07,0,3.21,6.42,0,7.49,0,1.07,0,22.47,50.28,13.91,0,0,2.14,1.07,0,0,0
21Day,4.02,0,0,6.69,0,14.72,0,4.02,0,0,0,0,5.35,0,0,1.34,0,12.05,0,0,0,4.02,20.08,1.34,0,0,1.34,0,0,0,1.34
3Month,0.32,0.64,0.32,12.16,0,0,0.32,0,0.64,3.52,7.04,5.12,0,2.88,0.96,2.56,1.92,7.04,1.28,0,0.64,0.64,0.64,0.32,0.32,12.16,0.32,0,2.24,0.64,2.24
22Month,0,1.09,2.19,2.19,0,0,0,0,0,10.39,2.19,7.11,1.64,2.19,0,0.55,5.47,2.19,0,0,1.09,0,0.55,0,0,0,0.55,0,0,0,0.55
