stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,24.52,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,3.21,0,0,0,0
21Day,0,0,6.69,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.64,0.64,13.12,5.12,0.96,0.32,7.68,1.6,0,2.56,0.32,2.56,0.64,1.6,0,0.64,0.32,0.32,1.92,6.72,0,0,0.32,0.64,86.07,16.32,2.56
22Month,0.55,0.55,6.56,0.55,0,1.64,12.03,1.09,1.09,6.56,0.55,0,1.64,1.09,1.09,0.55,0,0,0,3.28,0.55,4.92,0,0,13.12,0,0
