stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,1.34,1.34,0,1.34,0,0,1.34,0
3Month,0.64,0.32,0.64,0,3.2,0,0,0.32,1.28,0.96,0,0.32,0.96,0.32,0.96,0,0,1.6
22Month,0.55,0,0,0.55,2.73,0.55,0,0,0,0,0.55,0.55,0,1.09,0,0.55,0,0
