stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,4.28,3.21,0,0,1.07,0,0,3.21,0,0,0
21Day,0,0,0,2.68,0,2.68,0,0,0,0,0,0,0,0,0,0,2.68,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.32,1.28,0.64,15.68,0.32,0,0.96,0.32,0.32,5.44,0,8.32,2.56,0,2.88,1.6,2.56,1.92,11.2,3.2,1.92,0.32,0.64,0.64,0.96,0.32,0.32,1.92,54.39,0.32,1.6,94.7,4.8
22Month,0,0.55,0,4.37,0,0,0,0.55,0,3.28,0.55,21.32,1.64,0.55,0.55,0.55,0,2.19,3.83,0,1.09,0,0,0,0,1.09,0,0,4.37,0,0,0,0.55
