stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,20.33,2.14,0,0,0,0,0,2.14,4.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.08,0,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0,0,1.6,0,0.32,0,1.28,0,0,1.28,0.32,0,0.64,0,0.32,0,0.32,0,0.64,0,0,24.96,0,0,0,0.32,4.16,0.32
22Month,1.09,2.73,0.55,3.83,0.55,15.31,8.2,46.47,1.64,0.55,6.56,0.55,3.83,3.83,2.19,1.09,0.55,1.09,0,1.09,829.82,0,7.65,2.73,2.73,0,0,0,1.09
