stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,2.14,2.14,2.14,1.07,1.07
21Day,0,0,5.35,0,0,0,0,0,1.34,2.68,0,1.34,1.34,1.34,0,0
3Month,0,0.32,1.92,0,0.32,0,0.32,0.64,0,0.64,0.32,0,0,0,0.32,0
22Month,0,0,0,0.55,0,0.55,4.37,0,0,0,0.55,0.55,0,0,0,0
