stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,24.52,61.3,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,18.19,1.07,6.42,9.63,0,0,0,0,0,0,0,0,0,2.14,36.37,2.14,17.12,1.07,0,1985.53,159.4,2.14,2.14,0,41.72,0,0,84.51,2.14,0,2.14,0,0,0
21Day,4.02,1.34,13.39,13.39,0,4.02,0,2.68,0,4.02,0,6.69,2.68,2.68,9.37,4.02,13.39,4.02,0,621.08,68.27,2.68,12.05,0,9.37,22.76,0,42.83,8.03,6.69,2.68,0,0,0
3Month,0,0,2.24,0,0,0,0.64,0.64,0.32,3.2,0.64,0,0.96,0.32,0,1.6,5.12,0,0.32,10.88,0.64,2.56,0,0,0,0.32,0.32,1.28,0,0,0,0.32,26.24,0.32
22Month,0,0,0,0,0.55,0,0,2.73,8.75,32.8,1.64,0,2.73,0.55,0.55,3.28,2.19,1.09,0,15.85,0.55,8.75,1.09,0.55,0.55,0,1.09,16.95,0,0,1.09,0,0,0.55
