stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,8.17,8.17,0,0,0,0,4.09,126.68,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,2.14,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,6.42,0,11.77,0,0,1.07,0,10.7,18.19,0,0,0,7.49,1.07,1.07,3.21,0,0,0,0,0,0
21Day,2.68,5.35,1.34,24.09,33.46,0,12.05,0,0,0,0,0,0,2.68,6.69,1.34,0,6.69,0,36.14,0,0,2.68,0,5.35,18.74,0,0,0,13.39,2.68,2.68,4.02,1.34,1.34,0,0,0,0
3Month,0.32,1.92,0,36.47,0,0,0.64,0.32,1.28,5.44,0,0,23.04,8,1.28,9.28,2.24,10.88,8,8.32,0.64,0,1.6,1.92,0.32,0.32,1.6,1.6,0,0.96,5.12,400.58,1.28,0.32,0,0,3.84,127.98,7.68
22Month,0,2.19,0.55,10.93,0,2.19,0.55,0.55,0.55,14.76,0.55,0,62.87,5.47,6.56,11.48,0,0.55,20.23,7.11,0.55,1.64,0,0,0.55,0,1.09,0.55,2.73,1.09,0.55,83.64,0,0,0,0.55,0,1.09,2.73
