stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,2.14,2.14,0,0,0,0,0,0,3.21,1.07,3.21,99.49,4.28,5.35,0,0,0,0,0
21Day,0,0,9.37,2.68,1.34,0,0,0,0,0,1.34,1.34,5.35,18.74,2.68,0,1.34,4.02,0,0,0
3Month,0.64,0,7.04,0,0,0,0.32,0,1.28,0.32,3.52,0.32,0,0,0,0,0,30.08,0.32,0.32,7.68
22Month,0,0.55,0,0,0,0.55,0,0.55,0,0,0,0,0.55,0,0,0.55,0,2.73,0,0,0
