stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0
21Day,0,0,0,9.37,0,0,0,0,0,0,0,0,5.35,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,39.35,0.64,10.56,0.64,0,6.08,0.64,24.32,3.84,6.4,5.12,0.96,15.04,0.32,0.64,0,1.28,0.32,0.64,0.32,0.32,0.64
22Month,0,0.55,1.09,7.11,0.55,1.09,0.55,0.55,5.47,0,14.76,0,0,1.09,0,1.09,0,0,0,0,0,0.55,0,0,0
