stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,1.07,0,40.65,5.35,2.14,0,0,0,0,0,0,0,0,0
21Day,6.69,0,0,5.35,0,0,0,0,0,0,0,1.34,0,2.68,2.68,0,0,13.39,0,100.39,1.34,10.71,0,0,0,1.34,0,2.68,0,0,0
3Month,0,0.32,0.96,1.6,0,0.32,0.32,1.6,4.16,0.96,2.56,0.32,0.32,0.96,2.24,0.64,0,1.28,0.64,7.68,1.92,95.66,0.32,1.6,0.64,5.12,0.64,0,0.64,1.6,1.28
22Month,0,0,0.55,2.73,0.55,0.55,1.09,1.64,19.68,0,1.64,0,0,4.37,2.19,0,1.09,0,0,4.37,0,53.57,0.55,0,0,11.48,1.09,0,0,0,0
