stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,0,37.44,5.35,0,0,1.07,0,2.14,0,0,0,0,0,0
21Day,0,0,0,2.68,4.02,2.68,0,0,0,0,0,0,1.34,0,1.34,0,0,4.02,0,0,0,69.6,8.03,2.68,1.34,2.68,0,0,1.34,1.34,2.68,0,0,0
3Month,0.32,0.64,0.32,6.08,1.28,0,0,0.32,0,0,5.76,1.28,0,2.88,0.32,1.92,2.24,2.24,1.28,0,0.64,36.15,0,1.28,0.64,0,9.92,0.32,0,0,0,0.64,5.76,0.96
22Month,0.55,0.55,0.55,3.83,1.09,0,0.55,0,2.73,0.55,26.79,0.55,0,6.56,0,0.55,1.09,1.09,0,0.55,0.55,16.95,0,1.09,0,0,10.93,2.73,0,0,0,0,0,0
