stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,33.16,0,0,0,0,0,0,0,2.14,0,0,0,0,23.54,2.14,0,0,0,0,0,0,0
21Day,1.34,0,0,6.69,88.34,0,25.43,0,0,0,0,0,1.34,1.34,0,0,0,18.74,0,1.34,0,6.69,1.34,0,0,0
3Month,0,0.64,0,0.64,0,0.96,0,0.64,0,1.6,0.32,0.32,0.64,0.32,0.64,0,0,1.28,0,0.64,0.32,0.32,2.56,0,1.6,0.32
22Month,0,1.64,0.55,1.64,0,2.19,0.55,0.55,0.55,9.84,0.55,0,0,1.09,2.19,1.09,0.55,1.64,0,0.55,0,0,0,0.55,0,0.55
