stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,10.7,3.21,0,0,0,0,0,0,0,0,14.98,0,0,5.35,1.07,3.21,0,0,1.07,0,6.42,1.07,0,2.14,0,0,0,0,0,1.07,0,0,0
21Day,10.71,1.34,0,33.46,2.68,0,1.34,0,0,0,0,0,0,21.42,0,1.34,12.05,25.43,103.07,0,0,2.68,0,5.35,4.02,0,37.48,2.68,1.34,1.34,4.02,1.34,1.34,0,0,22.76
3Month,1.6,0.32,0.32,8.64,0,0,0.64,0.32,0.96,1.92,0,2.24,2.24,5.12,0.96,0.32,2.56,10.24,4.8,0.96,0,5.12,1.6,0.32,0,0.64,0,0.32,11.52,0,0,0,0,0.32,2.24,78.39
22Month,0,0,0,2.73,0,0.55,1.64,0,1.09,4.92,7.65,7.65,1.09,19.13,1.64,0,2.73,36.08,8.75,0,0.55,3.83,0,0,0.55,1.09,0,0,13.12,0.55,0,0,0,0.55,0,180.94
