stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Muscle_cell,Nephron_cell,Pancreatic_cell
3Month,0.96,0,0.64,1.92,7.36,0.64,0.32,0.32
22Month,0.55,0.55,0,2.73,1.64,0,0,0
