stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,61.3,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,1.07,1.07,0,0,0,0,1.07,0,1.07,2.14,0,2.14,0,0,1.07,6.42,0,0,0,0,0,1.07,0,0
21Day,1.34,0,1.34,8.03,0,4.02,0,0,0,0,0,2.68,0,1.34,1.34,9.37,0,0,5.35,5.35,0,0,0,4.02,0,0,0,1.34
3Month,0,0,0.64,2.56,0,0.64,1.28,0,7.04,0.64,0,2.56,0,0.96,0.96,0.64,0,0.32,0,0,0,0,0,0.32,0.32,2.88,0.32,0.64
22Month,0,0.55,0.55,4.37,0,0,1.64,0.55,28.97,0.55,0.55,0.55,0,0.55,4.92,2.19,1.64,0,0,0,0.55,0.55,0.55,0,0,0.55,0.55,0.55
