stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,147.11,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,0,36.37,2.14,0,0,0,1.07,0,0,0,0,0,6.42,73.82,0,64.19,0,0,0,285.63,262.1,0,0,47.07,0,0,18.19,0,0,4.28,0,0,0
21Day,1.34,1.34,0,60.23,4.02,0,0,0,0,0,0,0,1.34,1.34,4.02,42.83,1.34,36.14,0,0,4.02,77.63,92.36,2.68,0,10.71,13.39,0,2.68,1.34,1.34,0,0,0,5.35
3Month,0.32,0,0.64,3.2,0,0.32,0.32,0.96,0.64,0,5.12,1.28,0,7.04,0.32,2.24,0.64,0.64,0.32,0,0.32,0.32,0,0,0.32,0,0.64,2.24,0.64,0,0,0,0.32,1.92,0.64
22Month,0,1.64,0.55,3.83,0,0,0,0,3.28,8.2,26.79,2.73,0.55,9.84,0,1.64,2.19,3.28,0,0.55,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55
