stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0
3Month,0,0,0.32,0.32,0.32,0,0,3.2,0.64,0,0.64,0.64,0.64,0,0.32,0,0,0,0,0.32,0.32
22Month,0.55,0.55,3.83,0.55,0.55,2.19,1.09,28.43,0.55,2.19,3.83,0,1.64,1.09,0.55,0,0,0,0,0,0
