stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,4.09,0,0,0,0,102.16,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,9.63,4.28,2.14,0,2.14,0,0,0,0,1.07,0,0,0,4.28,46,1.07,21.4,0,0,1.07,12.84,31.02,0,1.07,12.84,0,0,5.35,0,2.14,0,0,0
21Day,2.68,2.68,2.68,30.79,4.02,6.69,0,2.68,0,0,0,0,0,0,1.34,2.68,2.68,17.4,2.68,30.79,0,12.05,0,9.37,13.39,1.34,0,8.03,2.68,1.34,6.69,1.34,0,1.34,0,4.02
3Month,0.32,0.64,0.64,14.72,0,0,0,0,4.8,3.84,0,0,16.96,4.8,0.32,9.28,0.96,3.2,4.16,4.16,0.32,2.88,1.6,0.32,0,0.96,0,0.32,1.28,3.84,0,0,0.32,18.56,1.92,1.92
22Month,0,5.47,3.83,15.85,0,0,1.09,0,5.47,9.84,1.09,0,61.77,4.37,2.19,12.03,0,4.37,7.11,10.39,0.55,4.92,0,0,0,0.55,0.55,0,0.55,2.19,0,0,0,6.01,0,2.19
