stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,T_cell
72hpf,0,1.07,0,0,0,4.28,0
21Day,0,0,0,0,1.34,0,0
3Month,0.32,0,0.64,0,0,0,0
22Month,0.55,0,1.09,0.55,0,0,0.55
