stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,110.33,8.17,0,0,0,4.09,8.17,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,1.07,0,1.07,0,38.51,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,1.34,0,0,0,0,6.69,1.34,1.34,1.34,48.19,4.02,0,0,0,1.34,0,0,1.34,2.68,0,0,1.34,0,2.68
3Month,2.88,0,0,7.36,4.8,2.88,0.96,1.92,0,0.64,98.86,1.6,0.32,0,0.64,0.32,0,0.32,0.64,0.64,4.16,0,0,0.64,2.88
22Month,1.64,0,0.55,17.49,20.23,2.73,1.09,1.64,0,0.55,88.56,1.09,0,0.55,0,0,0,0,0,0,2.73,1.09,0,0.55,2.19
