stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,6.42,3.21,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,0,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0,4.02,0,5.35,4.02,6.69,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0,4.8,0.32,0.64,0.96,4.48,0.64,0.96,1.6,0.96,0.64,0,0.32,0,1.92,1.92,0,0.64,18.88,0,0,0.64,1.28,0,0.32,0.32,0
22Month,0,0.55,3.83,5.47,0,1.64,0.55,138.85,1.09,26.24,1.09,0,0.55,1.09,0,2.19,2.19,2.19,0.55,0,27.33,0.55,0.55,0.55,0.55,0.55,0,0,0.55
