stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,20.43,0,0,0,0,0,0,0,4.09,0,0,0,0,0,53.12,0,0,0,0,0,0,0,0
72hpf,4.28,3.21,0,0,0,0,0,0,1.07,4.28,0,4.28,0,1.07,39.58,9.63,0,1.07,0,0,1.07,0,0,0
21Day,1.34,10.71,0,1.34,0,0,2.68,0,0,2.68,4.02,8.03,0,1.34,17.4,1.34,1.34,0,1.34,0,1.34,1.34,0,4.02
3Month,0,1.28,0,0,4.8,0.96,0,3.84,0,0,0,0,0.32,0,0,0,0,0.32,0.32,17.92,0,0,1.28,0
22Month,1.09,1.64,0.55,0,12.57,0,0,0.55,0,0,0.55,2.73,2.19,0,0.55,0,0,0,0.55,0.55,0.55,0,0,0
