stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,3.21,0,0,186.14,7.49,0,0,3.21,0,0,5.35,2.14,0,0
21Day,1.34,0,0,2.68,2.68,0,1.34,0,0,0,0,1.34,1.34,0,0,5.35,0,0,80.31,8.03,0,1.34,1.34,0,0,2.68,2.68,0,0
3Month,0,0.32,0,2.24,0,0,0.32,0,3.84,0,0.32,1.28,0.32,0.64,0.64,0,0.32,0,0.64,0,0.32,0,0,0.32,0.64,0,0.32,0.64,0.96
22Month,0,1.64,0.55,3.28,0,0,0,1.64,21.32,1.09,0,2.73,0,0.55,1.64,2.19,0,0.55,0,0,0,0.55,0,0,1.09,0,0,0,1.64
