stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0.64,10.88,0,1.92,0,5.44,0.32,7.36,0.32,0.96,0.32,0,0,0.96,0.64,1.28,0,0.96,39.99,0.64,9.28
22Month,0,1.09,0.55,1.09,1.09,6.56,1.09,1.09,0,0,0,0,0.55,0,0,0,2.19,0,25.15,0,0
