stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,16.35,0,0,0,0,0,0,8.17,0,0,16.35,4.09,61.3,0,0,0,0,0,0
72hpf,1.07,1.07,2.14,0,0,0,0,1.07,0,1.07,3.21,10.7,1.07,0,0,0,1.07,0,0
21Day,1.34,0,2.68,0,0,4.02,0,1.34,0,0,2.68,2.68,0,1.34,1.34,0,1.34,1.34,0
3Month,0,0,0.32,0,0.64,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0.55,1.64,1.09,0,0.55,0,0,0.55,1.09,0,0,0,0,2.19,0,0,0.55
