stage,Endothelial_cell,Hepatocyte,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,12.26,0,0
21Day,0,0,1.34,0,0
3Month,0,0.32,0,0,0.32
22Month,0.55,5.47,0,0.55,0
