stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,5.35,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,17.12,1.07,0,0,0,1.07,1.07,0,0,0,0
21Day,0,2.68,4.02,0,0,0,0,0,0,0,1.34,0,0,0,4.02,0,0,6.69,0,0,0,0,5.35,0,0,0,0,0
3Month,0,5.12,2.56,0,0.64,0.32,0,5.44,3.52,0,2.24,0.32,2.88,0.96,0.96,0,0.64,1.28,0.32,4.16,0,0.64,56.31,0,0.32,0.32,4.8,0.64
22Month,0.55,4.37,1.64,0.55,0,0.55,0.55,20.77,1.64,0.55,4.37,0,2.19,1.09,1.64,0.55,0,0.55,0,8.2,4.37,0,51.39,0,0,0,0,0
