stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,8.17,4.09,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,1.07,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0.64,0.32,2.24,0,0,0.32,0,4.48,1.28,2.56,0.64,0.96,0.32,0.96,0.32,0,0.32,0.96,0.32,0,0,0.64,10.88,0.32,31.67,0.64
22Month,0,0,0,0,0,0,0.55,4.37,0,0.55,0,0,0,0,0,2.73,0.55,0,0,0,0,0,47.01,0,0,0
