stage,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,1.07,1.07,0
21Day,0,0,0,2.68,1.34,0,0,1.34
3Month,0.32,0,0,0.32,0,0,0,0.32
22Month,0,1.09,0.55,0,0.55,0,0,1.09
