stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,8.56,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,21.42,1.34,5.35,0,1.34,1.34,1.34,137.87,17.4,0,4.02,0,0,0,2.68,0,12.05,5.35,1.34,0,0
3Month,0.32,0.96,0,0,0.64,2.56,0.32,0.32,26.56,0.96,0.32,0.64,0.64,0.32,0.64,0,0,0,0.32,0.96,1.6,0.64
22Month,0,0.55,0,0,0,8.75,1.64,1.09,48.65,0,0,0.55,0,1.09,0,0,0.55,0,0,0.55,0.55,0.55
