stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,2.68,0,2.68,0,0,0,0,37.48,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,6.69
3Month,0,0,2.24,0.64,0,0.32,0,1.92,0.96,0.64,0.32,0.64,0.96,0,0.32,0,0,0.32,0.32,0,0.64,0.32,0.32,6.72
22Month,0,0.55,1.09,0,0,0,1.64,15.85,0,0.55,0,0.55,0.55,0.55,0,0,0,0,0,0.55,0,0,0,3.83
