stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,49.04,0,0,0,0,0,0,0
72hpf,5.35,0,4.28,0,8.56,0,0,0,0,1.07,7.49,1.07,2.14,1.07,1.07,0,677.18,27.81,12.84,0,0,3.21,0,1.07,1.07
21Day,4.02,0,2.68,1.34,5.35,0,1.34,1.34,1.34,0,9.37,1.34,0,0,0,1.34,242.27,6.69,5.35,6.69,0,1.34,2.68,1.34,0
3Month,0,0.32,0.64,0,0,0,0.32,0,0.32,0,0.32,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0
22Month,0,0,0.55,0,0,0.55,4.37,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0
