stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,4.28,4.28,5.35,0,0,1.07,0,0,0,0,0,1.07,7.49,0,2.14,0,0,0,0,333.77,13.91,1.07,0,9.63,0,0,2.14,148.7,110.19,1.07,0,0
21Day,2.68,0,0,22.76,0,4.02,2.68,0,0,0,2.68,0,1.34,0,0,4.02,1.34,17.4,0,0,1.34,0,92.36,14.72,0,0,9.37,6.69,9.37,1.34,62.91,80.31,2.68,0,1.34
3Month,0,0,0,10.88,0,0,0.32,2.56,1.6,0,73.59,0.96,0.32,10.88,0.32,0.96,1.28,2.56,1.6,0,0.96,0.32,0,0,0.32,0,0.32,0,39.03,0,0,0,0,16.96,1.92
22Month,0,2.19,0.55,7.65,0.55,0,0,1.64,1.64,2.19,200.62,1.09,1.09,26.79,0,0,4.92,3.28,0.55,19.68,0.55,0,0,0,0.55,0.55,0.55,0,13.12,1.09,3.83,0,0,0.55,0
