stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,0,0,16.05,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,1.34,0,0
3Month,0,0.64,0,0,0.32,0.32,0.32,0,0.32,0,0.32,0.32,0,0,0,0.32,0.32
22Month,0,0.55,0.55,0.55,4.37,0,0.55,0,0,0.55,0,0,0.55,0,0,0,0
