stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,12.26,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,4.28,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,1.07,4.28,4.28,0,0,0,0,2.14,1.07,5.35,0,0,0,0,1.07,0,0,0
21Day,1.34,1.34,0,4.02,0,2.68,0,0,0,0,0,0,0,0,6.69,5.35,4.02,4.02,0,0,0,0,0,0,0,1.34,0,0,4.02,1.34,0,0,0
3Month,0,4.48,0.32,8.96,0.32,0,1.6,0,0,0,8.32,1.6,0,1.6,1.28,2.56,1.6,2.88,0.32,0,0.32,1.92,0,0,0,0,2.88,0,0,0,0.32,0.32,1.6
22Month,0,11.48,0.55,9.29,0,0,0.55,1.09,0.55,0,29.52,0,0.55,3.28,1.64,0,4.92,2.19,0,0.55,0.55,0,0.55,0,0,0.55,0.55,0.55,0,0,0,0,1.09
