stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,27.81,0,1.07,0,0,0,0,0,0,0,0,0,57.77,0,9.63,0,0,0,0,31.02,2.14,0,0,0,0,0,1.07,9.63,7.49,0,0
21Day,1.34,0,26.77,0,4.02,0,0,0,0,0,0,1.34,0,0,68.27,1.34,13.39,0,0,5.35,0,5.35,4.02,0,0,4.02,1.34,0,2.68,20.08,124.48,0,0
3Month,0,0.32,8.64,0,0,0,0.64,1.28,0,8.32,0.64,0.32,2.56,0,62.39,0.64,2.88,0,0,0.32,0.32,0.32,0.32,0,0,0,0.32,1.92,0,0,0,0.96,1.28
22Month,0,0.55,1.64,0.55,0,1.09,0,6.01,1.09,27.33,1.64,1.09,3.83,0.55,19.13,1.64,2.73,0.55,1.64,0.55,0,0.55,0,0.55,0.55,0,0,0.55,0,31.16,0,0,1.09
