stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,16.35,12.26,4.09,0,0,0,4.09,44.95,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,2.14,0,1.07,0,0,0,0,0,0,0,3.21,10.7,0,5.35,0,1.07,0,10.7,22.47,0,0,0,5.35,1.07,0,1.07,0,0,0
21Day,2.68,0,0,2.68,0,0,0,0,4.02,0,0,0,5.35,1.34,2.68,0,0,0,1.34,5.35,0,0,0,1.34,1.34,1.34,0,0,0,1.34
3Month,0.64,0.64,0.32,1.28,0,0,0.32,0.32,1.6,2.24,2.24,0,0,0,0,0.64,0,0.32,0,0.32,0.64,0,0,0,0.64,47.35,0.32,0.64,4.8,1.28
22Month,0,1.09,0,1.09,0.55,0.55,0,0.55,1.64,47.56,4.37,0,0,0,7.11,0.55,2.19,0,0,0.55,0,0.55,0.55,0,0,7.11,0,0,0,0.55
