stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,1.34,1.34,1.34,0,0,0
3Month,0,0.32,0.96,0,0.32,0.96,0.32,0,0,0,0,0,0.32,0.32
22Month,0.55,0,0,0,0,2.73,0,0.55,0,0,0,0.55,0,0
