stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,4.28,0,0,0,1.07,0,1.07,1.07,0,0,0,0,0
21Day,2.68,9.37,26.77,4.02,0,4.02,30.79,0,9.37,1.34,0,1.34,0,0,8.03
22Month,0.55,0,0.55,44.83,6.56,0.55,6.01,0.55,41.55,1.09,0.55,0,0.55,0.55,1.64
