stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0
3Month,0.32,0,0,0.96,0.32,0.32,0,0.32,0.64,0,0,0,1.6,0.96
22Month,0,0.55,6.01,6.01,0,0.55,0,0,0.55,0.55,0.55,0,0.55,0
