stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,61.3,0,4.09,0,0,0,0,0,0,0,0,57.21,0,0,0,0
72hpf,10.7,0,3.21,1.07,0,0,0,0,0,0,4.28,18.19,1.07,0,0,1.07
21Day,18.74,0,1.34,0,0,0,0,0,0,4.02,1.34,8.03,0,0,2.68,6.69
3Month,0,0.32,2.56,0,0.32,0,0,0.32,0.32,0,0,0,0,0.32,0.64,0.64
22Month,0,0,1.09,0,0,0.55,0.55,0,0,0.55,0,0,0,0,12.03,0
