stage,Cardiomyocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,0,0,0,0,0,4.09,4.09,24.52,0,0
72hpf,0,0,0,0,1.07,0,1.07,1.07,0,1.07
21Day,1.34,0,0,0,0,1.34,0,0,0,0
22Month,0,0.55,2.19,0.55,1.64,0.55,0.55,0,0.55,0
