stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.95,0,0,0,0,0
21Day,0,0,0,0,0,2.68,0,1.34,0,0,0,2.68,0,4.02,4.02,0,0,0,0,0
3Month,0,1.28,0,0,0,4.16,0.32,0,0,0,0,0,0,0,0,0,0.64,0.32,0,0.32
22Month,0.55,1.64,0.55,1.64,1.09,57.95,0,0,1.64,0.55,1.64,0.55,4.92,0,0,0,0,0,0.55,0
