stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,4.28,18.19,0,0,0,0,1.07,2.14,1.07,0,0,0,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,8.03,5.35,0,0,0,0,2.68,1.34,0,1.34,0,1.34,2.68,0,0,0
3Month,0,1.28,0,0.32,0,0.64,0,0.32,0.96,2.56,0,0.32,0.32,0.32,0,0,0,0,0,3.52,0,0,0.64,7.04,0.32
22Month,0.55,4.92,0,0,0.55,0,0.55,6.01,0,0.55,0,0,0.55,0,0.55,0,0,0,0,1.64,0,0,0,0,0
