stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,4.09,53.12,0,0,0,0,0,0,4.09,0,0,0
72hpf,4.28,0,4.28,0,2.14,0,0,0,0,0,0,0,0,3.21,19.26,1.07,16.05,25.67,5.35,0,14.98,0,5.35,0,0,2.14,0,0,0
21Day,5.35,0,48.19,1.34,41.49,32.12,1.34,2.68,0,2.68,1.34,9.37,1.34,0,18.74,8.03,13.39,9.37,6.69,1.34,8.03,0,1.34,0,1.34,1.34,0,0,9.37
3Month,0,0.32,4.48,0,0,0.32,0,3.2,0,2.56,0.64,0.32,1.92,0.32,0.32,0.32,0.32,0.32,0,0,0,3.84,0,0,0,0,0.32,0.64,2.88
22Month,0,0.55,2.73,0,0,0,0,0,0.55,9.29,0,0,2.73,0,0.55,2.73,1.09,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0
