stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,32.69,0,0,0,24.52,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,6.42,0,0,2.14,2.14,0,14.98,0,0,0,0,0
21Day,1.34,1.34,0,0,0,1.34,2.68,0,0,0,0,0,29.45,1.34,0,0,0,0
3Month,1.28,2.24,0.32,0.32,0.32,1.92,1.6,0.32,0.32,0,0,0,0,0.32,0.96,0.32,6.08,0.64
22Month,2.19,4.92,0,1.64,0,0,4.37,0,0,0,0,0.55,0,0,0,0,0,0
