stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,3.21,3.21,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,1.34,0,0,1.34,0,0,0,0
3Month,0.96,0.64,3.84,0,0.96,0.32,0.32,0.32,0,0,0.32,0,1.28,0.32,57.91,0.32
22Month,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0,0
