stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,12.26,0,0,8.17,53.12,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,0,1.07,1.07,2.14,0,0,0,0,0,0
21Day,1.34,0,1.34,1.34,0,0,0,0,0,0,0,0,1.34,5.35,0,0,1.34,1.34,4.02,0,0,0,0,0,1.34
3Month,0,0.64,0.32,4.16,0.32,0.32,0.64,6.08,0.64,1.28,0.32,1.28,0.32,1.28,0,0.32,0.32,0,0,0.64,10.56,0,0.64,38.07,0.64
22Month,0,0.55,0,1.64,0,0.55,0,16.95,0,0,0,0,0,2.73,0.55,0,0,0,0,0,4.37,0.55,0,0,0
