stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,4.09,0
72hpf,0,0,0,2.14,0,1.07
21Day,0,0,0,1.34,0,0
3Month,0.32,0,0.32,0,0,0
22Month,0,1.09,0,0,0,0
