stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,3.21,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,8.56,0,109.12,0,0,0,0,16.05,10.7,1.07,0,0,889,0,0,1.07,1.07,0,0,0,0
21Day,1.34,0,0,6.69,12.05,0,1.34,0,0,0,0,0,0,0,0,0,6.69,2.68,382.82,0,0,1.34,0,6.69,2.68,2.68,0,0,402.9,14.72,0,1.34,0,8.03,0,0,5.35
3Month,0.32,0.32,0.64,10.24,0,1.92,0.32,0.32,0.96,9.28,0,17.6,2.88,0.96,4.8,0.64,2.88,2.88,331.79,9.6,0,3.2,0.64,0.96,0,1.28,0.96,0,4.16,1.92,6.08,0,0,0.64,1.6,1.6,4.16
22Month,0,3.28,0.55,4.37,0,2.19,0,0,0.55,7.11,1.64,79.81,2.73,2.73,4.92,0.55,1.09,6.56,291.91,1.64,2.19,1.64,0,0,0.55,1.64,0,0.55,0,1.09,1.09,0.55,0,0.55,0.55,0,1.64
