stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0.32,0,0.32,3.52,0.32,0,0.64,0.64,0,1.28,0,0,0.32,0.32,0
22Month,0.55,0.55,0,0,22.96,1.09,0.55,1.64,0.55,3.28,0,0,0,0,0,1.64
