stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,0,28.6,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,85.81,0,0,0,0,44.95,237.01,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0
72hpf,17.12,1.07,0,3.21,1.07,5.35,0,0,0,0,0,0,0,0,0,23.54,2.14,75.96,0,1.07,4.28,0,484.62,56.7,0,0,0,46,0,0,10.7,1.07,0,3.21,0,0,0
21Day,6.69,0,0,17.4,1.34,2.68,0,0,0,0,0,0,0,0,0,18.74,1.34,97.71,0,0,13.39,0,180.7,29.45,0,0,0,52.2,5.35,1.34,1.34,1.34,4.02,1.34,0,0,0
3Month,0.64,2.24,0,11.2,0,0,0.64,0.32,1.92,0.32,0,46.71,1.28,2.88,0.32,6.08,1.92,7.36,1.28,0.32,0.96,0.64,1.6,0,0.64,0.32,0,0.32,0.32,1.6,0,0,0,0.32,1.28,0.96,0.96
22Month,0.55,0.55,1.09,6.01,0,0,0,0.55,1.64,0.55,0,56.85,0,3.28,0,0,1.09,6.01,0,1.09,1.64,0,0.55,0,1.64,0.55,1.09,0,0,1.09,0,0,0,0,0,0,0.55
