stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,20.33,0,0,1.07,2.14,0
21Day,0,2.68,0,0,0,0,0,0,0,10.71,0,0,0,0,0
3Month,0.32,25.28,0.32,0.32,0.32,0.32,0.64,0.96,1.28,0.64,0.32,0.96,0,0,0.96
22Month,0,0.55,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0.55
