stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,0,1.07,0,3.21,1.07,0,0,1.07,0,0
21Day,0,1.34,0,0,0,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0
3Month,1.28,0,0.32,1.28,0.32,0.32,0.32,0,0.32,0,0.64,0,0.96,0,0,0.32,71.35
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0
